Register to Register Moves
00000000000100000000010000000001	00100401	MOVE.B	D1,A0
00000000000100010000010000000001	00110401	MOVE.B	D1,A1
00000000000100100000010000000001	00120401	MOVE.B	D1,A2
00000000000100110000010000000001	00130401	MOVE.B	D1,A3
00000000000101000000010000000001	00140401	MOVE.B	D1,A4
00000000000101010000010000000001	00150401	MOVE.B	D1,A5
00000000000101100000010000000001	00160401	MOVE.B	D1,A6
00000000000101110000010000000001	00170401	MOVE.B	D1,A7
00000000000110000000010000000001	00180401	MOVE.B	D1,A8
00000000000110010000010000000001	00190401	MOVE.B	D1,A9
00000000000110100000010000000001	001a0401	MOVE.B	D1,A10
00000000000110110000010000000001	001b0401	MOVE.B	D1,A11
00000000000111000000010000000001	001c0401	MOVE.B	D1,A12
00000000000111010000010000000001	001d0401	MOVE.B	D1,A13
00000000000111100000010000000001	001e0401	MOVE.B	D1,A14
00000000000111110000010000000001	001f0401	MOVE.B	D1,A15
00000000000000000000100000000001	00000801	MOVE.B	D2,D0
00000000000000010000100000000001	00010801	MOVE.B	D2,D1
00000000000000100000100000000001	00020801	MOVE.B	D2,D2
00000000000000110000100000000001	00030801	MOVE.B	D2,D3
00000000000001000000100000000001	00040801	MOVE.B	D2,D4
00000000000001010000100000000001	00050801	MOVE.B	D2,D5
00000000000001100000100000000001	00060801	MOVE.B	D2,D6
00000000000001110000100000000001	00070801	MOVE.B	D2,D7
00000000000010000000100000000001	00080801	MOVE.B	D2,D8
00000000000010010000100000000001	00090801	MOVE.B	D2,D9
00000000000010100000100000000001	000a0801	MOVE.B	D2,D10
00000000000010110000100000000001	000b0801	MOVE.B	D2,D11
00000000000011000000100000000001	000c0801	MOVE.B	D2,D12
00000000000011010000100000000001	000d0801	MOVE.B	D2,D13
00000000000011100000100000000001	000e0801	MOVE.B	D2,D14
00000000000011110000100000000001	000f0801	MOVE.B	D2,D15
00000000000100000000100000000001	00100801	MOVE.B	D2,A0
